doc_id,category,subcat,text,num_links
35,Imperialism,Middle East,"In 1988, a US navy cruise missile shot down Iran Flight 655, killing its 290 civilian passengers. In 1996 As part of the settlement, the US did not admit legal liability or formally apologize to Iran but agreed to pay on an ex gratia basis $61.8 million.",3
36,Imperialism,Middle East,"In 1980, the US helped Turkish armed forces in the 1980 Turkish coup d'état, including supplying them with American-made Sikorski helicopters.",2
37,Imperialism,Middle East,"In 1980, the US funded and sold weapons to both sides in the Iran-Iraq War, hoping to destabilize the region and create a puppet regime favorable to US interests. Over 500,000 people died in the conflict.",2
38,Imperialism,Middle East,"From 1979-89, the CIA begins supplying arms and money ($630 million per year by 1987) to factions fighting against the soviets in their invasion of afghanistan, In what was known as Operation Cyclone. the U.S. government secretly provided weapons and funding for the Mujahadin Islamic guerillas of Afghanistan fighting to overthrow the Afghan government and the Soviet military forces that supported it. Supplies were channeled through the Inter-Services Intelligence (ISI) of Pakistan. Although Operation Cyclone officially ended in 1989 with the withdrawal of Soviet troops from Afghanistan, U.S. government funding for the Mujahadin continued through 1992. Fanatical extremists now possess state-of-the-art weaponry, including Sheik Abdel Rahman, and Osama Bin Laden, who were later responsible for the 1993 and 2001 World Trade Center bombings in New York.",12
39,Imperialism,Middle East,"Since the 1960s, the US has given immense economic and military aid to Israel in the Israeli-Palestinian conflict, which has taken 100,000 - 200,000 lives. The US has used its UN veto power to block a two-state solution countless times.",2
40,Imperialism,Middle East,"In 1958, Eisenhower authorized Operation Blue Bat, an invasion of 14,000 US troops in the ongoing civil war in Lebanon. This was the first application of the Eisenhower Doctrine under which the U.S. announced that it would intervene to protect regimes it considered threatened by international communism. The goal of the operation was to bolster the pro-Western Lebanese government of President Camille Chamoun against internal opposition and threats from Syria and Egypt.",5
41,Imperialism,Middle East,"In 1953, the CIA in Iran overthrows the democratically elected Mohammed Mossadegh in a military coup, after he threatened to nationalize British oil. The CIA replaces him with a dictator, the Shah of Iran, whose secret police, SAVAK, is as brutal as the Gestapo. After the initial coup failed and the Shah and his family fled to Italy, the CIA payed millions of dollars to bribe military officers and pay gangsters to unleash violence in the streets of Tehran.",4
42,Imperialism,Middle East,"In 1949, the US aided a Syrian coup d'état. The democratically elected government of Shukri al-Quwatli was overthrown by a junta led by the Syrian Army chief of staff at the time, Husni al-Za'im,who became President of Syria on 11 April 1949. The exact nature of US involvement in that coup is still highly controversial. However, it is well documented that the construction of the Trans-Arabian Pipeline, which had been held up in the Syrian parliament, was approved by Za'im just over a month after the coup.<sup>1<sup>",5
43,Imperialism,Western hemisphere,"In 2017, Hurricane Maria hit Puerto Rico, leaving 3.4 million without electricity and fuel, and causing an estimated $50 Billion in damage. 55% of Puerto Ricans have no potable water,  in one of the worst humanitarian crises in decades. In marked contrast to the initial relief efforts for Hurricane Katrina and the 2010 Haiti earthquake, on September 22 the only signs of relief efforts were beleaguered Puerto Rican government employees. The US response has been dismal, leading many to believe that the US prefers a decapitalized Puerto Rico. On September 29, San Juan Mayor Cruz held a press conference to plead for aid and to highlight failures by FEMA, saying, """"This is what we got last night. Four pallets of water, three pallets of meals, and 12 pallets of infant food — which, I gave them to the people of Comerío, where people are drinking off a creek. So I am done being polite. I am done being politically correct. I am mad as hell."""" Cruz continued. """"So I am asking the members of the press, to send a mayday call all over the world. We are dying here... And if it doesn't stop, and if we don't get the food and the water into people's hands, what we are going to see is something close to a genocide."""" In response President Donald Trump wrote on Twitter: """"Such poor leadership ability by the Mayor of San Juan and others in Puerto Rico, who are not able to get their workers to help.""""",8
44,Imperialism,Western hemisphere,"Following a series of terrorist attacks against Cuba (such as the bombing of Cuban commercial flight 455, that originated from anti-Castro Cuban exile groups in the US, such as  Alpha 66, the F4 Commandos, the Cuban American National Foundation, and Brothers to the Rescue), the Cuban government sent spies to infiltrate these insurgent groups operating in Miami. Afterwards, the Cuban government then provided 175 pages of documents to FBI agents investigating Posada Carriles's (a former CIA operative) role in the 1997 terrorist bombings in Havana, but the FBI failed to use the evidence to follow up on Posada. Instead, they used it to uncover and imprison the Cuban spies, known as the Cuban Five. . The Cuban Five said they were spying on Miami's Cuban exile community, not the US government. They were imprisoned from 1998, until their eventual release via a prisoner swap in 2014. The terrorist bomber Posada Carriles (who admitted to planning 6 bombings of Havana Hotels and Restaurants) is currently being safeguarded by the US government, and resides in Miami.",11
45,Imperialism,Western hemisphere,"In 2009, a coup in Honduras has led to severe repression and death squad murders of political opponents, union organizers and journalists. At the time of the coup, U.S. officials denied any role in the coup and used semantics to avoid cutting off U.S. military aid as required under U.S. law. But two Wikileaks cables revealed that the U.S. Embassy, and Secretary of State Hillary Clinton, was the main power broker in managing the aftermath of the coup and forming a government that is now repressing and murdering its people, including popular leader Berta Cáceres. The two men who killed Berta Cáceres A former soldier with the US-trained special forces units of the Honduran military asserted that Caceres' name was included on a hitlist distributed to them months before her assassination. According to a February 2017 investigation by *The Guardian*, court papers purport to show that three of the eight people arrested in connection with the assassination are linked to the US-trained elite troops. Two of them, Maj Mariano Díaz and Lt Douglas Giovanny Bustillo, received military training in the US.",5
46,Imperialism,Western hemisphere,"In 1990 in Haiti, Competing against 10 comparatively wealthy white candidates, leftist priest Jean-Bertrand Aristide captures 68 percent of the vote. A few months later, the CIA-backed military deposes him in a coup. More military dictators brutalize the country, as thousands of Haitian refugees escape the turmoil in barely seaworthy boats. The CIA """"paid key members of the coup regime forces, identified as drug traffickers, for information from the mid-1980s at least until the coup."""" Coup leaders Cédras and François had received military training in the United States. As popular opinion calls for Aristide’s return, the CIA begins a disinformation campaign painting the courageous priest as mentally unstable.",4
47,Imperialism,Western hemisphere,"In 1989, The U.S. invades Panama to overthrow a dictator of its own making, General Manuel Noriega, with the stated goal of """"Defending democracy and human rights in Panama"""". Noriega had been on the CIA’s payroll since 1966, collecting at least $100,000 per year from the U.S. Treasury. As he rose to be the de facto ruler of Panama, he became even more valuable to the CIA, reporting on meetings with Fidel Castro and Daniel Ortega of Nicaragua and supporting U.S. covert wars in Central America, and had been transporting drugs with the CIA’s knowledge since 1972. By the late 80s, Noriega’s growing independence and intransigence had angered Washington. Between 500-4,000 people died in the US invasion.",2
48,Imperialism,Western hemisphere,"In 1987, the former CIA Station Chief in Angola in 1976, John Stockwell, testified to Congress and told a grisly tale of US involvement on behalf of business interests in Latin America. He cited covert operations in Nicaragua, Panama, Guatemala, Haiti, the Dominican Republic, and Cuba. Over the course of his testimony, he estimated that given the bombings of water supplies and other essential infrastructure, the invasions, the coups, that the United States, on its quest for empire, has been responsible for 6,000,000 deaths. The CIA retaliated by suing him into bankruptcy.",3
49,Imperialism,Western hemisphere,"From 1982-89, The U.S. government attempted to topple the government of Nicaragua by secretly arming, training and funding the Contras, a terrorist group based in Honduras that was created to sabotage Nicaragua and to destabilize the Nicaraguan government.As part of the training, the CIA distributed a detailed """"terror manual"""" entitled """"Psychological Operations in Guerrilla War,"""" which instructed the Contras, among other things, on how to blow up public buildings, to assassinate judges, to create martyrs, and to blackmail ordinary citizens. In 1986, the Nicaraguan government under the Sandinistas shoots down a C-123 transport plane carrying military supplies to the Contras. The lone survivor, Eugene Hasenfus, turns out to be a CIA employee, as are the two dead pilots, contradicting Reagan's claims that the US was not aiding the contras.",4
50,Imperialism,Western hemisphere,"In the 1980s the CIA supported Battalion 316), a torture/assasination squad in Honduras, which kidnapped, tortured and killed hundreds of its citizens. Battalion 316 used shock and suffocation devices in interrogations , and prisoners often were kept naked and, when no longer useful, killed and buried in unmarked graves. Declassified documents and other sources show that the CIA and the U.S. Embassy knew of numerous crimes, including murder and torture, yet continued to support Battalion 316 and collaborate with its leaders.",2
51,Imperialism,Western hemisphere,"In 1980, In El Salvador, The Archbishop of San Salvador, Oscar Romero, pleads with President Carter to stop aiding the military government slaughtering his people. Carter refuses. Right-wing leader Roberto D’Aubuisson has Romero shot through the heart while saying Mass. The country soon dissolves into civil war, with the peasants in the hills fighting against the military government. The CIA and U.S. Armed Forces supply the government with overwhelming military and intelligence superiority, training death squads to roam the countryside, committing atrocities like that of El Mozote in 1982, where 800 civilians were massacred. By 1992, some 63,000 Salvadorans were killed. Back then Salvador was controlled by a mafia of 13 families who owned 50% of the land and wealth. The 13 families were heavily linked with the United States. CIA provided weapons and military training to the Salvadorean Army. As soon as the CIA discovered the priests were indoctrinating the masses, they began killing them.",3
52,Imperialism,Western hemisphere,"In 1979, The CIA began to destabilize Grenada after Maurice Bishop became president, for his marxist, pro-cuba, anti-racism, and anti-apartheid stances. Under Bishop's leadership, Women were given equal pay and paid maternity leave, and sex discrimination was made illegal. Organisations for education (Center for Popular Education), health care, and youth affairs (National Youth Organization) were also established. The campaign against him resulted in his overthrow and the invasion by the U.S. of Grenada on October 25, 1983, with about 277 people dying.",2
53,Imperialism,Western hemisphere,"In 1979, the US-backed dictator Anastasios Samoza II falls, beginning the popular Nicaraguan Revolution. Remnants of his Guard will become the Contras, who fight a CIA-backed guerilla war against the left-wing Sandinista government throughout the 1980s, with Reagan authorizing covert support to anti-Sandinista forces.",3
54,Imperialism,Western hemisphere,"In 1976, several CIA-linked anti-Castro Cuban exiles and members of the Venezuelan secret police DISIP were responsible for a terrorist bomb attack on Cuban flight 455, killing 73 people. CIA venezuelan operative Luis Posada Carriles, one of the bombers, fled and was granted amnesty in the US in 2007.",4
55,Imperialism,Western hemisphere,"In 1976, The CIA backed an overthrow of Argentinan leader Isabel Martínez de Perón by right wing anti-communist dictator Jorge Rafael Videla. In 1983, two years after the return of a representative democratic government, he was prosecuted in the Trial of the Juntas for large-scale human rights abuses and crimes against humanity that took place under his rule, including kidnappings or forced disappearance, widespread torture and extrajudicial murder of activists, and political opponents as well as their families at secret concentration camps, and harboring nazis. An estimated 13,000 -30,000 political dissidents vanished during this period. Videla was also convicted of the theft of many babies born during the captivity of their mothers at the illegal detention centres and passing them on for illegal adoption by associates of the regime. In his defence, Videla maintains the female guerrilla detainees allowed themselves to fall pregnant in the belief they wouldn't be tortured or executed.",3
56,Imperialism,Western hemisphere,"On 11 September 1973, The CIA backed a military coup to remove democratically elected socialist president Salvador Allende, in favor of right-wing dictator Augusto Pinochet. His US-supported regime was characterized by the systematic suppression of political parties and the persecution of dissidents to an extent that was unprecedented in the history of Chile, backed by the neoliberal free-market economic policies of the Chicago Boys. Over-all, the regime left over 3,000 dead or """"dissappeared"""", tortured thousands of prisoners, and forced 200,000 Chileans into exile. He's known for the Villa Grimaldi, a torture complex, and his Caravan of Death, a Chilean Army death squad guilty of countless atrocities, including dropping pregnant women and teenagers out of helicopters in the ocean, and executions where prisoners were shot by parts, over extended periods of time.  Pinochet's forces are conservatively estimated to have killed over 11,000 people in his first year in power.",7
57,Imperialism,Western hemisphere,"In 1971 in Bolivia, after half a decade of CIA-inspired political turmoil, a CIA-backed military coup overthrows the leftist President Juan Jose Torres, eventually being kidnapped and murdered by CIA backed right wing death squads, as part of Operation Condor. In the next two years, dictator Hugo Banzer will have over 2,000 political opponents arrested without trial, then tortured, raped and executed.",3
58,Imperialism,Western hemisphere,"In 1971, A CIA operative told a reporter he delivered a strain of the African Swine Fever virus from an army base in the Canal Zone to anti-Castro Cubans. An outbreak of the disease then occurred in Cuba, resulting in the slaughter of 500,000 pigs to prevent a nationwide animal epidemic. It was labeled the """"most alarming event"""" of 1971 by the United Nations Food and Agricultural Organization.",2
59,Imperialism,Western hemisphere,"Starting in the 1970s, a CIA-backed coalition of right wing governments in Argentina, Ecuador, Peru, Chile, Uruguay, Paraguay, Bolivia and Brazil, began Operation Condor, a campaign of political repression and state terror involving intelligence operations and assassination of opponents, with the stated aim of """"eliminating Marxist subversion."""" Victims included dissidents and leftists, union and peasant leaders, priests and nuns, students and teachers, intellectuals and suspected guerillas. An estimated 30,000 to 80,000 leftists or sympathizers were killed.",2
60,Imperialism,Western hemisphere,"In 1969, amid a collapsing economy, labor and student strikes in Uruguay, CIA operative Dan Mitrione initiates a campaign of torture and violence against the left-wing student group Tuparamos. Former Uruguayan police officials and CIA operatives stated Mitrione had taught torture techniques to Uruguayan police, including the use of electrical shocks delivered to his victims' mouths and genitals. It has been alleged that he used homeless people for training purposes, who were executed once they had served their purpose.",3
61,Imperialism,Western hemisphere,"In 1968, a CIA-organized military operation in Bolivia led by cuban exile and CIA agent Félix Rodríguez) captures legendary guerilla Che Guevara, defeating the Ñancahuazú Guerrilla. The Bolivian president ordered his immediate execution to prevent worldwide calls for clemency, and the drama of a trial. Nazi war criminal Klaus Barbie aka """"The Butcher of Lyon"""", advised and possibly helped the CIA orchestrate Guevara's eventual capture.",5
62,Imperialism,Western hemisphere,"In 1965, The US intervened in the Dominican Civil War, providing air support and 1,700 marines. This later transformed into an Organization of American States occupation of the country.",3
63,Imperialism,Western hemisphere,"In 1964, A CIA-backed military coup in Brazil overthrows the democratically elected government of Joao Goulart. The junta that replaces it will, in the next two decades, become one of the most bloodthirsty in history. General Castelo Branco will create Latin America’s first death squads, or bands of secret police who hunt down """"communists"""" and political opponents for torture, interrogation and murder. Later it is revealed that the CIA trains the death squads. Thousands were tortured, and hundreds were killed.",3
64,Imperialism,Western hemisphere,"In the 1962 Cuban missile crisis, the Joint Chiefs of Staff unanimously agreed that a full-scale nuclear attack and invasion was the only solution, nearly plunging the world into nuclear war.",2
65,Imperialism,Western hemisphere,"From 1961 onward, The US School of Americas, a US Department of Defense institute in Fort Benning, Georgia, was assigned the specific goal of teaching """"anti-communist counterinsurgency training,"""" to CIA-supported right wing paramilitaries. It trained more than 19,000 students from 36 countries in the western hemisphere, including several Latin American dictators, and, during the 1980s, included torture in its curriculum.",5
66,Imperialism,Western hemisphere,"In 1961, in Ecuador, the CIA-backed military forces the democratically elected President José María Velasco Ibarra to resign. Vice President Carlos Arosemana replaces him; the CIA fills the now vacant vice presidency with its own man.",2
